sourceId,start,end
1,465,30596
1,486,76975
1,486,30596
1,486,9707
1,486,9707
1,486,9707
1,8256,76975
1,23908,30596
1,59871,76975
1,71096,76975
1,71096,76975
1,71096,76975
1,71096,76975
1,71096,76975
1,76977,130259
1,76977,82255
1,77864,111280
1,77864,82255
1,77864,82255
1,77864,82255
1,81120,121223
1,81120,82255
1,82251,126285
1,82251,126285
1,82251,126121
1,82251,125233
1,82251,94671
1,82251,94671
1,82251,94671
1,82251,94671
1,82251,94671
1,82251,88312
1,88316,125718
1,93321,130259
1,95936,116082
1,98212,125233
1,98454,130259
1,100446,130259
1,100446,130259
1,100446,130259
1,100446,130259
1,100446,130259
1,100446,125233
1,100446,119538
1,100446,112409
1,110917,113184
1,111700,130259
1,113203,126169
1,113735,115088
1,114010,115088
1,116091,121750
1,116098,127830
1,116098,127830
1,116098,119088
1,116375,119712
1,120169,126126
1,120279,128199
1,120553,125788
1,120553,125788
1,120578,127830
1,120851,164343
1,120975,125718
1,122178,125718
1,126849,157644
1,127086,166636
1,127086,153621
1,129327,167280
1,129327,167280
1,129327,167280
1,129327,167280
1,129327,166636
1,129327,161037
1,129327,132871
1,130273,166636
1,130273,164674
1,130273,166636
1,130273,166636
1,130273,153917
1,130273,141682
1,130273,138352
1,130470,149442
1,130470,141313
1,144364,167280
1,149445,151718
1,159237,166636
1,165492,167280
1,217281,228582
1,217281,225384
1,217281,225384
1,217281,225384
1,217281,225384
1,217281,225384
1,217281,224294
1,217486,219475
1,217588,221521
1,218180,228582
1,218180,228582
1,219724,224800
1,219725,225386
1,219725,223648
1,219827,224046
1,219930,225384
1,220669,257570
1,221283,225386
1,222453,228582
1,223103,225386
1,225389,257570
1,227449,257570
1,227449,228582
1,228578,257570
1,228578,257570
1,228578,257568
1,228578,257568
1,228578,240986
1,228578,240986
1,228578,240986
1,228578,240986
1,228578,240986
1,228578,234647
1,234651,257570
1,239638,252000
1,242251,257570
1,244527,257570
1,244775,257570
1,246761,257570
1,246761,257570
1,246761,257570
1,246761,257570
1,246761,257570
1,246761,257568
1,246761,257568
1,246761,257570
1,307583,311127
1,307583,461231
1,307583,387121
1,307583,342609
1,307583,342609
1,307583,317011
1,307583,314534
1,307583,311127
1,307583,311127
1,307583,311127
1,307583,311127
1,307583,311127
1,307583,311127
1,307583,311127
1,307583,311127
1,307583,311127
1,307583,311125
1,307583,311125
1,307583,309984
1,307583,309984
1,307584,311127
1,307584,309984
1,310195,451983
1,311138,342609
1,311138,322797
1,311138,322918
1,311138,322225
1,311138,317690
1,311138,315684
1,311138,316018
1,311139,342609
1,311855,316018
1,311855,316018
1,312375,329849
1,313602,342609
1,316031,326976
1,316031,326976
1,316031,322234
1,316031,317688
1,316721,393885
1,316795,342609
1,316795,342609
1,317292,322523
1,317292,322523
1,317362,342609
1,317362,322101
1,317362,320898
1,317847,393885
1,317847,342609
1,317847,342609
1,321326,326983
1,321853,342609
1,323364,326755
1,323540,453854
1,323990,326976
1,326992,342609
1,327986,329317
1,327986,329063
1,329868,332219
1,330641,461231
1,331772,342609
1,342608,393885
1,388076,393885
1,393913,406463
1,393913,406463
1,393913,412506
1,393913,412506
1,393913,412509
1,393913,412509
1,393913,406463
1,393913,406463
1,393920,400310
1,400314,412509
1,412298,426539
1,412298,426539
1,412298,426539
1,412298,426539
1,412298,424516
1,426559,428045
1,450865,461231
1,450865,454043
1,450865,458740
1,450865,451983
1,454046,460717
1,454046,458126
1,454046,456961
1,454046,456317
1,454048,461231
1,454048,461231
1,454048,461231
1,454048,461231
1,454048,461231
1,454048,459479
1,454632,459685
1,455127,461231
1,455373,459582
1,455771,459684
1,459928,461231
1,511232,659155
1,511232,512350
1,511232,638740
1,511232,534920
1,511232,523977
1,511232,512350
1,511233,512350
1,511233,512350
1,523043,535124
1,535460,536981
1,535460,659155
1,535664,645895
1,537794,552025
1,537794,552025
1,537794,552025
1,537794,552025
1,539817,552025
1,551822,576278
1,551822,576278
1,551822,569880
1,551825,576278
1,551825,576278
1,555996,557019
1,563733,576278
1,563733,576278
1,563733,576278
1,563733,576278
1,569884,576271
1,576306,582106
1,576306,652628
1,576306,651599
1,576306,626811
1,583063,659155
1,626810,637619
1,626810,655747
1,626810,659155
1,626810,658213
1,626810,658212
1,626810,652628
1,626810,652584
1,626810,652584
1,626810,652084
1,626810,651599
1,626810,651599
1,626810,647587
1,626810,642440
1,637292,639521
1,638039,659155
1,639540,653687
1,640122,641446
1,640376,641446
1,642443,653318
1,642443,652613
1,642454,648114
1,642457,645445
1,642734,646070
1,646527,658212
1,646637,658212
1,646911,652154
1,646911,652154
1,647200,653318
1,647209,658212
1,647333,652084
1,648542,652084
1,651756,658212
1,651758,653318
1,652435,659155
1,652435,659155
1,652968,658204
1,653331,658212
1,653331,664284
1,653331,664284
1,654815,659155
1,658224,661619
1,658224,661618
1,658224,661619
1,658224,661619
1,658224,661619
1,658224,661619
